fecha,descripcion,categoria,monto,mes,peso_categoria,frecuencia,alerta_incremento,monto_normalizado,frecuencia_normalizada,score_financiero,requiere_atencion
2026-03-01,Pago de energia,servicios,185000,3,1.0,7,0,0.8789346246973366,0.6666666666666665,2.545601291364003,1
2026-03-02,Compra en supermercado,alimentacion,128000,3,1.2,9,0,0.602905569007264,1.0,2.802905569007264,1
2026-03-03,Pasaje de bus,transporte,3500,3,1.1,8,0,0.0,0.8333333333333333,1.9333333333333333,0
2026-03-04,Suscripcion de Netflix,entretenimiento,28000,3,1.9,5,0,0.11864406779661017,0.33333333333333326,2.3519774011299432,0
2026-03-05,Consulta medica,salud,95000,3,1.3,5,0,0.4430992736077482,0.33333333333333326,2.0764326069410814,0
2026-03-06,Almuerzo oficina,alimentacion,18000,3,1.2,9,0,0.0702179176755448,1.0,2.270217917675545,0
2026-03-07,Cafe y postre,ocio,10000,3,1.8,8,0,0.0314769975786925,0.8333333333333333,2.664810330912026,1
2026-03-08,Recarga transporte,transporte,12000,3,1.1,8,0,0.04116222760290557,0.8333333333333333,1.974495560936239,0
2026-03-09,Pago de internet,servicios,89000,3,1.0,7,0,0.414043583535109,0.6666666666666665,2.0807102502017756,0
2026-03-10,Compra de cuaderno,educacion,14500,3,1.1,5,0,0.05326876513317193,0.33333333333333326,1.4866020984665054,0
2026-03-11,Cena en restaurante,ocio,76000,3,1.8,8,0,0.35108958837772397,0.8333333333333333,2.984422921711057,1
2026-03-12,Compra de medicamento,salud,41000,3,1.3,5,0,0.18159806295399517,0.33333333333333326,1.8149313962873286,0
2026-03-13,Taxi nocturno,transporte,18500,3,1.1,8,0,0.07263922518159807,0.8333333333333333,2.0059725585149315,0
2026-03-14,Curso virtual,educacion,120000,3,1.1,5,0,0.5641646489104117,0.33333333333333326,1.997497982243745,0
2026-03-15,Salida a cine,entretenimiento,54000,3,1.9,5,0,0.24455205811138014,0.33333333333333326,2.4778853914447136,0
2026-03-16,Compra de ropa,compras_no_esenciales,165000,3,2.0,3,0,0.782082324455206,0.0,2.7820823244552058,1
2026-03-17,Mercado,alimentacion,36000,3,1.2,9,0,0.15738498789346247,1.0,2.3573849878934627,0
2026-03-18,Pago de agua,servicios,47000,3,1.0,7,0,0.2106537530266344,0.6666666666666665,1.8773204196933009,0
2026-03-19,Suscripcion YT Music,entretenimiento,19000,3,1.9,5,0,0.07506053268765134,0.33333333333333326,2.3083938660209844,0
2026-03-20,Onces,ocio,9000,3,1.8,8,0,0.02663438256658596,0.8333333333333333,2.6599677158999193,1
2026-03-21,Gasolina,transporte,70000,3,1.1,8,0,0.3220338983050848,0.8333333333333333,2.2553672316384183,0
2026-03-22,Matricula curso corto,educacion,210000,3,1.1,5,0,1.0000000000000002,0.33333333333333326,2.4333333333333336,0
2026-03-23,Compra de libro,educacion,38000,3,1.1,5,0,0.16707021791767554,0.33333333333333326,1.6004035512510089,0
2026-03-24,Salida de fin de semana,ocio,132000,3,1.8,8,0,0.6222760290556901,0.8333333333333333,3.2556093623890234,1
2026-03-25,Pago de celular,servicios,56000,3,1.0,7,0,0.2542372881355932,0.6666666666666665,1.9209039548022597,0
2026-03-26,Desayuno fuera,alimentacion,14500,3,1.2,9,0,0.05326876513317193,1.0,2.253268765133172,0
2026-03-27,Bus ida y regreso,transporte,7000,3,1.1,8,0,0.01694915254237288,0.8333333333333333,1.9502824858757062,0
2026-03-28,Compra farmacia,salud,28500,3,1.3,5,0,0.12106537530266347,0.33333333333333326,1.7543987086359967,0
2026-03-29,Helado y bebida,ocio,17000,3,1.8,8,0,0.06537530266343827,0.8333333333333333,2.6987086359967716,1
2026-03-30,Mercado de la semana,alimentacion,98000,3,1.2,9,0,0.45762711864406785,1.0,2.6576271186440676,1
2026-03-31,Pago de gas,servicios,39000,3,1.0,7,0,0.1719128329297821,0.6666666666666665,1.8385794995964486,0
2026-04-01,Almuerzo oficina,alimentacion,18500,4,1.2,9,0,0.07263922518159807,1.0,2.272639225181598,0
2026-04-02,Recarga tarjeta transporte,transporte,15000,4,1.1,8,0,0.055690072639225194,0.8333333333333333,1.9890234059725584,0
2026-04-03,Suscripcion almacenamiento,entretenimiento,12000,4,1.9,5,0,0.04116222760290557,0.33333333333333326,2.2744955609362387,0
2026-04-04,Salida con amigos,ocio,68000,4,1.8,8,0,0.3123486682808717,0.8333333333333333,2.9456820016142053,1
2026-04-05,Compra de audifonos,compras_no_esenciales,89000,4,2.0,3,0,0.414043583535109,0.0,2.414043583535109,0
2026-04-06,Compra en supermercado,alimentacion,142000,4,1.2,9,1,0.6707021791767556,1.0,3.8707021791767557,1
2026-04-07,Taxi por lluvia,transporte,21000,4,1.1,8,0,0.08474576271186442,0.8333333333333333,2.0180790960451978,0
2026-04-08,Control odontologico,salud,110000,4,1.3,5,0,0.5157384987893463,0.33333333333333326,2.1490718321226794,0
2026-04-09,Pago del ChatGPT,educacion,20000,4,1.1,5,0,0.07990314769975788,0.33333333333333326,1.5132364810330912,0
2026-04-10,Pago suscripcion celular,servicios,58000,4,1.0,7,0,0.26392251815980633,0.6666666666666665,1.930589184826473,0
2026-04-11,Cine y snacks,entretenimiento,62000,4,1.9,5,0,0.28329297820823246,0.33333333333333326,2.5166263115415655,1
2026-04-12,Compra de almuerzo,alimentacion,21000,4,1.2,9,0,0.08474576271186442,1.0,2.2847457627118644,0
2026-04-13,Cafe de tarde,ocio,12000,4,1.8,8,0,0.04116222760290557,0.8333333333333333,2.674495560936239,1
2026-04-14,Bus ida y regreso,transporte,6400,4,1.1,8,0,0.014043583535108962,0.8333333333333333,1.9473769168684423,0
2026-04-15,Compra de frutas,alimentacion,27000,4,1.2,9,0,0.11380145278450364,1.0,2.313801452784504,0
2026-04-16,Pago de energia,servicios,192000,4,1.0,7,0,0.9128329297820824,0.6666666666666665,2.579499596448749,1
2026-04-17,Compra de zapatos,compras_no_esenciales,185000,4,2.0,3,0,0.8789346246973366,0.0,2.8789346246973366,1
2026-04-18,Salida fin de semana,ocio,95000,4,1.8,8,0,0.4430992736077482,0.8333333333333333,3.076432606941082,1
2026-04-19,Medicamentos formulados,salud,53000,4,1.3,5,0,0.2397094430992736,0.33333333333333326,1.873042776432607,0
