fecha,descripcion,categoria,monto,mes,peso_categoria,frecuencia,porcentaje_categoria,alerta_incremento,monto_normalizado,frecuencia_normalizada,score_financiero,tipo_gasto,requiere_atencion
2026-01-01,"Compra de frutas",alimentacion,20982,1,1.2,154,0.308,0,0.075,1,2.275,gasto_controlado,0
2026-01-01,"Cine y snacks",entretenimiento,76167,1,1.9,53,0.106,0,0.3002,0.2681,2.4683,gasto_no_esencial_alto,1
2026-01-01,"Pago de energia",servicios,179035,1,1.0,20,0.04,0,0.7199,0.029,1.7489,gasto_inusual,1
2026-01-01,"Pasaje de bus",transporte,4007,1,1.1,125,0.25,0,0.0057,0.7899,1.8956,gasto_frecuente,1
2026-01-02,"Cena en casa",alimentacion,34382,1,1.2,154,0.308,0,0.1297,1,2.3297,gasto_controlado,0
2026-01-02,"Matricula curso corto",educacion,154222,1,1.1,35,0.07,0,0.6187,0.1377,1.8564,gasto_inusual,1
2026-01-02,"Consulta medica",salud,74069,1,1.3,38,0.076,0,0.2916,0.1594,1.751,gasto_controlado,0
2026-01-02,"Taxi por lluvia",transporte,25958,1,1.1,125,0.25,0,0.0953,0.7899,1.9851,gasto_controlado,0
2026-01-03,"Domicilio comida",alimentacion,33763,1,1.2,154,0.308,0,0.1271,1,2.3271,gasto_controlado,0
2026-01-03,"Domicilio comida",alimentacion,39810,1,1.2,154,0.308,1,0.1518,1,3.3518,gasto_incremento_recurrente,1
2026-01-03,"Material de estudio",educacion,36296,1,1.1,35,0.07,0,0.1375,0.1377,1.3752,gasto_controlado,0
2026-01-03,"Salida a cine",entretenimiento,34806,1,1.9,53,0.106,0,0.1314,0.2681,2.2995,gasto_controlado,0
2026-01-03,"Pago de agua",servicios,41409,1,1.0,20,0.04,0,0.1583,0.029,1.1873,gasto_controlado,0
2026-01-03,"Taxi por lluvia",transporte,9214,1,1.1,125,0.25,0,0.027,0.7899,1.9168,gasto_frecuente,1
2026-01-04,"Cena en casa",alimentacion,23066,1,1.2,154,0.308,0,0.0835,1,2.2835,gasto_controlado,0
2026-01-04,"Pasaje de bus",transporte,3386,1,1.1,125,0.25,0,0.0032,0.7899,1.893,gasto_frecuente,1
2026-01-05,"Desayuno fuera",alimentacion,9232,1,1.2,154,0.308,0,0.027,1,2.227,gasto_frecuente,1
