fecha,descripcion,categoria,monto
2026-01-01,"Compra de frutas",alimentacion,20982
2026-01-01,"Cine y snacks",entretenimiento,76167
2026-01-01,"Pago de energia",servicios,179035
2026-01-01,"Pasaje de bus",transporte,4007
2026-01-02,"Cena en casa",alimentacion,34382
2026-01-02,"Matricula curso corto",educacion,154222
2026-01-02,"Consulta medica",salud,74069
2026-01-02,"Taxi por lluvia",transporte,25958
2026-01-03,"Domicilio comida",alimentacion,39810
2026-01-03,"Domicilio comida",alimentacion,33763
2026-01-03,"Material de estudio",educacion,36296
2026-01-03,"Salida a cine",entretenimiento,34806
2026-01-03,"Pago de agua",servicios,41409
2026-01-03,"Taxi por lluvia",transporte,9214
2026-01-04,"Cena en casa",alimentacion,23066
2026-01-04,"Pasaje de bus",transporte,3386
2026-01-05,"Desayuno fuera",alimentacion,9232
2026-01-05,"Pago de internet",servicios,83506
2026-01-05,"Gasolina",transporte,50477
2026-01-05,"Transporte app",transporte,19077
2026-01-06,"Almuerzo oficina",alimentacion,22918
2026-01-06,"Pasaje de bus",transporte,2988
2026-01-06,"Pasaje de bus",transporte,4247
2026-01-07,"Almuerzo oficina",alimentacion,19333
2026-01-07,"Compra en supermercado",alimentacion,137847
2026-01-07,"Compra de libro",educacion,41694
2026-01-07,"Cine y snacks",entretenimiento,84312
2026-01-07,"Suscripcion almacenamiento",entretenimiento,12182
2026-01-07,"Consulta medica",salud,73890
2026-01-07,"Pago de celular",servicios,56182
2026-01-08,"Compra en supermercado",alimentacion,126087
2026-01-08,"Snack tarde",alimentacion,5214
2026-01-08,"Compra de medicamento",salud,53258
2026-01-08,"Recarga transporte",transporte,12534
2026-01-09,"Suscripcion de Netflix",entretenimiento,26673
2026-01-10,"Mercado de la semana",alimentacion,64893
2026-01-10,"Suscripcion almacenamiento",entretenimiento,10120
2026-01-10,"Transporte app",transporte,39648
2026-01-11,"Compra en supermercado",alimentacion,122854
2026-01-11,"Plataforma de musica",entretenimiento,18288
2026-01-11,"Salida con amigos",ocio,78646
2026-01-11,"Medicamentos formulados",salud,69083
2026-01-11,"Taxi por lluvia",transporte,14058
2026-01-11,"Transporte app",transporte,24458
2026-01-12,"Plan familiar",ocio,67326
2026-01-12,"Pasaje de bus",transporte,2605
2026-01-12,"Pasaje de bus",transporte,3965
2026-01-12,"Taxi por lluvia",transporte,15805
2026-01-13,"Curso virtual",educacion,110386
2026-01-13,"Suscripcion almacenamiento",entretenimiento,9217
2026-01-13,"Cena en restaurante",ocio,100147
2026-01-15,"Mercado de la semana",alimentacion,97054
2026-01-15,"Snack tarde",alimentacion,10644
2026-01-15,"Control odontologico",salud,140514
2026-01-15,"Gimnasio mensual",salud,72207
2026-01-15,"Recarga transporte",transporte,11199
2026-01-16,"Accesorio celular",compras_no_esenciales,39155
2026-01-17,"Desayuno fuera",alimentacion,15011
2026-01-17,"Helado y bebida",ocio,14870
2026-01-18,"Domicilio comida",alimentacion,57096
2026-01-18,"Cafe y postre",ocio,12002
2026-01-18,"Recarga transporte",transporte,21087
2026-01-19,"Taxi por lluvia",transporte,19891
2026-01-20,"Mercado de la semana",alimentacion,123037
2026-01-20,"Evento cultural",entretenimiento,105452
2026-01-20,"Gasolina",transporte,64355
2026-01-21,"Compra en supermercado",alimentacion,126939
2026-01-21,"Plan familiar",ocio,50012
2026-01-21,"Recarga transporte",transporte,16123
2026-01-22,"Videojuego digital",entretenimiento,91969
2026-01-22,"Salida con amigos",ocio,78064
2026-01-22,"Transporte app",transporte,34934
2026-01-23,"Desayuno fuera",alimentacion,16266
2026-01-23,"Pago plataforma educativa",educacion,40530
2026-01-23,"Plan familiar",ocio,43289
2026-01-23,"Gasolina",transporte,49978
2026-01-24,"Desayuno fuera",alimentacion,10302
2026-01-24,"Salida fin de semana",ocio,64884
2026-01-24,"Control odontologico",salud,131781
2026-01-25,"Cena en casa",alimentacion,42666
2026-01-25,"Compra de frutas",alimentacion,26570
2026-01-25,"Bus ida y regreso",transporte,7163
2026-01-26,"Mercado de la semana",alimentacion,82927
2026-01-26,"Bus ida y regreso",transporte,7582
2026-01-27,"Domicilio comida",alimentacion,25488
2026-01-27,"Matricula curso corto",educacion,228273
2026-01-27,"Medicamentos formulados",salud,50987
2026-01-27,"Taxi por lluvia",transporte,12927
2026-01-28,"Compra de frutas",alimentacion,19910
2026-01-28,"Helado y bebida",ocio,15386
2026-01-28,"Bus ida y regreso",transporte,6889
2026-01-29,"Compra de frutas",alimentacion,26492
2026-01-29,"Compra de ropa",compras_no_esenciales,221660
2026-01-29,"Suscripcion almacenamiento",entretenimiento,14234
2026-01-30,"Cena en casa",alimentacion,23064
2026-01-30,"Snack tarde",alimentacion,9691
2026-01-30,"Salida a cine",entretenimiento,60726
2026-01-30,"Consulta medica",salud,132497
2026-01-30,"Taxi por lluvia",transporte,12221
2026-01-31,"Cena en casa",alimentacion,25092
2026-01-31,"Pago plataforma educativa",educacion,53602
2026-01-31,"Compra de medicamento",salud,46436
2026-02-01,"Desayuno fuera",alimentacion,11948
2026-02-01,"Snack tarde",alimentacion,10772
2026-02-01,"Pago de energia",servicios,171542
2026-02-02,"Videojuego digital",entretenimiento,129111
2026-02-02,"Bus ida y regreso",transporte,5725
2026-02-02,"Gasolina",transporte,71249
2026-02-03,"Pago de agua",servicios,48288
2026-02-03,"Pasaje de bus",transporte,3819
2026-02-04,"Suscripcion almacenamiento",entretenimiento,11085
2026-02-04,"Gasolina",transporte,90922
2026-02-05,"Evento cultural",entretenimiento,87537
2026-02-05,"Pago de internet",servicios,85695
2026-02-05,"Transporte app",transporte,26347
2026-02-06,"Compra en supermercado",alimentacion,87252
2026-02-06,"Control odontologico",salud,89829
2026-02-06,"Taxi por lluvia",transporte,22538
2026-02-07,"Cena en casa",alimentacion,23053
2026-02-07,"Pago de celular",servicios,54730
2026-02-07,"Transporte app",transporte,37952
2026-02-08,"Helado y bebida",ocio,16355
2026-02-09,"Salida a cine",entretenimiento,60720
2026-02-09,"Suscripcion de Netflix",entretenimiento,28022
2026-02-09,"Gasolina",transporte,75688
2026-02-10,"Mercado de la semana",alimentacion,70265
2026-02-10,"Taxi por lluvia",transporte,21311
2026-02-11,"Almuerzo oficina",alimentacion,23532
2026-02-11,"Domicilio comida",alimentacion,44195
2026-02-11,"Plataforma de musica",entretenimiento,18461
2026-02-11,"Helado y bebida",ocio,17308
2026-02-12,"Mercado de la semana",alimentacion,122289
2026-02-12,"Bus ida y regreso",transporte,7310
2026-02-13,"Mercado de la semana",alimentacion,106629
2026-02-13,"Curso virtual",educacion,103193
2026-02-13,"Cena en restaurante",ocio,91495
2026-02-13,"Compra de medicamento",salud,39595
2026-02-14,"Desayuno fuera",alimentacion,12151
2026-02-14,"Mercado de la semana",alimentacion,71018
2026-02-14,"Compra de ropa",compras_no_esenciales,119162
2026-02-14,"Gasolina",transporte,61339
2026-02-15,"Mercado de la semana",alimentacion,109547
2026-02-15,"Suscripcion almacenamiento",entretenimiento,9254
2026-02-15,"Gimnasio mensual",salud,68740
2026-02-15,"Transporte app",transporte,12986
2026-02-16,"Videojuego digital",entretenimiento,94369
2026-02-16,"Salida fin de semana",ocio,135289
2026-02-16,"Compra de medicamento",salud,58626
2026-02-17,"Compra en supermercado",alimentacion,87074
2026-02-17,"Control odontologico",salud,132347
2026-02-17,"Pasaje de bus",transporte,3768
2026-02-18,"Compra de frutas",alimentacion,28132
2026-02-18,"Compra en supermercado",alimentacion,125254
2026-02-18,"Suscripcion almacenamiento",entretenimiento,14120
2026-02-18,"Transporte app",transporte,20164
2026-02-19,"Cena en casa",alimentacion,26239
2026-02-19,"Medicamentos formulados",salud,72985
2026-02-19,"Pasaje de bus",transporte,3023
2026-02-20,"Compra de frutas",alimentacion,32509
2026-02-20,"Pasaje de bus",transporte,2857
2026-02-21,"Mercado de la semana",alimentacion,107672
2026-02-21,"Compra de ropa",compras_no_esenciales,130293
2026-02-21,"Salida con amigos",ocio,50413
2026-02-22,"Almuerzo oficina",alimentacion,12184
2026-02-22,"Compra de frutas",alimentacion,27769
2026-02-22,"Salida fin de semana",ocio,138781
2026-02-23,"Compra en supermercado",alimentacion,88729
2026-02-23,"Taxi por lluvia",transporte,25582
2026-02-24,"Salida fin de semana",ocio,118043
2026-02-24,"Transporte app",transporte,27037
2026-02-25,"Almuerzo oficina",alimentacion,18073
2026-02-25,"Salida fin de semana",ocio,139652
2026-02-25,"Bus ida y regreso",transporte,7464
2026-02-26,"Cena en casa",alimentacion,37172
2026-02-27,"Compra de audifonos",compras_no_esenciales,40947
2026-02-27,"Pasaje de bus",transporte,3664
2026-02-28,"Compra de frutas",alimentacion,36371
2026-02-28,"Snack tarde",alimentacion,12019
2026-03-01,"Compra de frutas",alimentacion,19537
2026-03-01,"Suscripcion almacenamiento",entretenimiento,10726
2026-03-01,"Pago de energia",servicios,184169
2026-03-02,"Domicilio comida",alimentacion,28285
2026-03-02,"Control odontologico",salud,71032
2026-03-03,"Compra de frutas",alimentacion,31056
2026-03-03,"Pago de agua",servicios,41703
2026-03-03,"Pasaje de bus",transporte,2619
2026-03-04,"Domicilio comida",alimentacion,57338
2026-03-04,"Evento cultural",entretenimiento,95136
2026-03-04,"Plan familiar",ocio,28861
2026-03-04,"Compra farmacia",salud,42916
2026-03-04,"Taxi por lluvia",transporte,17631
2026-03-05,"Domicilio comida",alimentacion,42872
2026-03-05,"Mercado de la semana",alimentacion,101141
2026-03-05,"Plan familiar",ocio,78668
2026-03-05,"Compra de medicamento",salud,50804
2026-03-05,"Pago de internet",servicios,93530
2026-03-06,"Mercado de la semana",alimentacion,122678
2026-03-06,"Cena en restaurante",ocio,101610
2026-03-06,"Compra farmacia",salud,19913
2026-03-06,"Bus ida y regreso",transporte,7024
2026-03-06,"Gasolina",transporte,91481
2026-03-07,"Desayuno fuera",alimentacion,16975
2026-03-07,"Pago de celular",servicios,57962
2026-03-07,"Bus ida y regreso",transporte,5852
2026-03-08,"Desayuno fuera",alimentacion,11887
2026-03-08,"Helado y bebida",ocio,18302
2026-03-08,"Medicamentos formulados",salud,35295
2026-03-09,"Compra de frutas",alimentacion,31409
2026-03-09,"Compra en supermercado",alimentacion,116834
2026-03-09,"Compra de cuaderno",educacion,12481
2026-03-09,"Suscripcion de Netflix",entretenimiento,27590
2026-03-09,"Cena en restaurante",ocio,83259
2026-03-09,"Transporte app",transporte,19749
2026-03-10,"Compra de frutas",alimentacion,25989
2026-03-10,"Compra en supermercado",alimentacion,122476
2026-03-10,"Compra de ropa",compras_no_esenciales,127288
2026-03-10,"Suscripcion almacenamiento",entretenimiento,14975
2026-03-10,"Transporte app",transporte,26225
2026-03-11,"Compra en supermercado",alimentacion,131572
2026-03-11,"Snack tarde",alimentacion,8101
2026-03-11,"Plataforma de musica",entretenimiento,17956
2026-03-11,"Consulta medica",salud,100569
2026-03-11,"Consulta medica",salud,90232
2026-03-11,"Transporte app",transporte,39885
2026-03-12,"Desayuno fuera",alimentacion,10939
2026-03-12,"Videojuego digital",entretenimiento,76122
2026-03-12,"Taxi por lluvia",transporte,28863
2026-03-13,"Snack tarde",alimentacion,10515
2026-03-13,"Snack tarde",alimentacion,9558
2026-03-13,"Curso virtual",educacion,97262
2026-03-13,"Videojuego digital",entretenimiento,57384
2026-03-14,"Snack tarde",alimentacion,5114
2026-03-14,"Material de estudio",educacion,17514
2026-03-14,"Cena en restaurante",ocio,65811
2026-03-14,"Taxi por lluvia",transporte,19801
2026-03-15,"Almuerzo oficina",alimentacion,22185
2026-03-15,"Gimnasio mensual",salud,76435
2026-03-15,"Bus ida y regreso",transporte,8204
2026-03-16,"Evento cultural",entretenimiento,40582
2026-03-16,"Salida con amigos",ocio,54126
2026-03-16,"Transporte app",transporte,21643
2026-03-17,"Cena en casa",alimentacion,35400
